timestamp,code,msg_type
2026-08-05T09:33:23.394,03074T,depth
2026-08-05T09:33:23.394,03074T,depth
2026-08-05T09:33:23.394,03074T,depth
2026-08-05T09:33:23.394,03074T,depth
2026-08-05T09:33:23.394,03074T,depth
2026-08-05T09:33:23.486,03077T,depth
2026-08-05T09:33:23.555,03046T,depth
2026-08-05T09:33:23.555,03077T,depth
2026-08-05T09:33:23.555,03046T,depth
2026-08-05T09:33:24.103,03182T,depth
2026-08-05T09:33:24.172,03077T,depth
2026-08-05T09:33:24.172,03182T,depth
2026-08-05T09:33:24.172,03011T,depth
2026-08-05T09:33:24.172,03077T,depth
2026-08-05T09:33:24.172,03182T,depth
2026-08-05T09:33:24.251,03011T,depth
2026-08-05T09:33:24.253,03077T,depth
2026-08-05T09:33:24.253,03046T,depth
2026-08-05T09:33:24.253,03011T,depth
2026-08-05T09:33:24.253,03011T,depth
2026-08-05T09:33:24.253,03046T,depth
2026-08-05T09:33:24.253,03046T,depth
2026-08-05T09:33:24.253,03182T,depth
2026-08-05T09:33:24.253,03077T,depth
2026-08-05T09:33:24.253,03046T,depth
2026-08-05T09:33:24.509,03011T,depth
2026-08-05T09:33:24.587,03182T,depth
2026-08-05T09:33:24.587,03077T,depth
2026-08-05T09:33:24.587,03046T,depth
2026-08-05T09:33:24.587,03074T,depth
2026-08-05T09:33:24.587,03074T,depth
2026-08-05T09:33:24.587,03074T,depth
2026-08-05T09:33:24.587,03074T,depth
2026-08-05T09:33:24.587,03074T,depth
2026-08-05T09:33:24.587,03074T,depth
2026-08-05T09:33:25.088,03182T,depth
2026-08-05T09:33:25.164,03077T,depth
2026-08-05T09:33:25.164,03046T,depth
2026-08-05T09:33:25.164,03011T,depth
2026-08-05T09:33:25.755,03077T,depth
2026-08-05T09:33:25.834,03046T,depth
2026-08-05T09:33:25.834,03077T,depth
2026-08-05T09:33:25.834,03046T,depth
2026-08-05T09:33:25.834,03074T,depth
2026-08-05T09:33:25.834,03074T,depth
2026-08-05T09:33:25.834,03074T,depth
2026-08-05T09:33:25.834,03077T,depth
2026-08-05T09:33:25.834,03074T,depth
2026-08-05T09:33:25.844,03074T,depth
2026-08-05T09:33:25.844,03074T,depth
2026-08-05T09:33:26.085,03077T,depth
2026-08-05T09:33:26.151,03046T,depth
2026-08-05T09:33:26.299,03182T,depth
2026-08-05T09:33:26.356,03182T,depth
2026-08-05T09:33:26.426,03182T,depth
2026-08-05T09:33:26.490,03011T,depth
2026-08-05T09:33:26.554,03011T,depth
2026-08-05T09:33:26.554,03195T,depth
2026-08-05T09:33:26.554,03194T,depth
2026-08-05T09:33:26.554,03196T,depth
2026-08-05T09:33:26.554,03197T,depth
2026-08-05T09:33:26.554,03046T,depth
2026-08-05T09:33:26.554,03077T,depth
2026-08-05T09:33:26.554,03182T,depth
2026-08-05T09:33:26.554,03011T,depth
2026-08-05T09:33:26.554,03011T,depth
2026-08-05T09:33:26.628,030573,depth
2026-08-05T09:33:26.906,03011T,depth
2026-08-05T09:33:26.970,03182T,depth
2026-08-05T09:33:26.970,03077T,depth
2026-08-05T09:33:26.970,03046T,depth
2026-08-05T09:33:27.034,03074T,depth
2026-08-05T09:33:27.034,03074T,depth
2026-08-05T09:33:27.034,03074T,depth
2026-08-05T09:33:27.034,03074T,depth
2026-08-05T09:33:27.034,03074T,depth
2026-08-05T09:33:27.034,03074T,depth
2026-08-05T09:33:27.097,03195T,depth
2026-08-05T09:33:27.097,03197T,depth
2026-08-05T09:33:27.161,03194T,depth
2026-08-05T09:33:27.161,03196T,depth
2026-08-05T09:33:27.810,03011T,depth
2026-08-05T09:33:27.879,03182T,depth
2026-08-05T09:33:27.944,03046T,depth
2026-08-05T09:33:28.022,03046T,depth
2026-08-05T09:33:28.022,03046T,depth
2026-08-05T09:33:28.022,03046T,depth
2026-08-05T09:33:28.022,03077T,depth
2026-08-05T09:33:28.088,03077T,depth
2026-08-05T09:33:28.088,03077T,depth
2026-08-05T09:33:28.162,03074T,depth
2026-08-05T09:33:28.231,03074T,depth
2026-08-05T09:33:28.231,03074T,depth
2026-08-05T09:33:28.231,03074T,depth
2026-08-05T09:33:28.231,03074T,depth
2026-08-05T09:33:28.231,03074T,depth
2026-08-05T09:33:28.640,03046T,depth
2026-08-05T09:33:28.710,03077T,depth
2026-08-05T09:33:28.773,03077T,depth
2026-08-05T09:33:28.775,03046T,depth
2026-08-05T09:33:29.062,03074T,depth
2026-08-05T09:33:29.126,03074T,depth
2026-08-05T09:33:29.126,03074T,depth
2026-08-05T09:33:29.126,03011T,depth
2026-08-05T09:33:29.189,03182T,depth
2026-08-05T09:33:29.189,03011T,depth
2026-08-05T09:33:29.189,03011T,depth
2026-08-05T09:33:29.189,03182T,depth
2026-08-05T09:33:29.189,03077T,depth
2026-08-05T09:33:29.189,03011T,depth
2026-08-05T09:33:29.189,03182T,depth
2026-08-05T09:33:29.253,03182T,depth
2026-08-05T09:33:29.390,03074T,depth
2026-08-05T09:33:29.459,03074T,depth
2026-08-05T09:33:29.459,03074T,depth
2026-08-05T09:33:29.586,03046T,depth
2026-08-05T09:33:29.649,03046T,depth
2026-08-05T09:33:30.049,03182T,depth
2026-08-05T09:33:30.112,03046T,depth
2026-08-05T09:33:30.112,03011T,depth
2026-08-05T09:33:30.178,03077T,depth
2026-08-05T09:33:30.178,03182T,depth
2026-08-05T09:33:30.178,03077T,depth
2026-08-05T09:33:30.178,03046T,depth
2026-08-05T09:33:30.178,03011T,depth
2026-08-05T09:33:30.178,03077T,depth
2026-08-05T09:33:30.241,03077T,depth
2026-08-05T09:33:30.317,03077T,depth
2026-08-05T09:33:30.381,03046T,depth
2026-08-05T09:33:30.381,03077T,depth
2026-08-05T09:33:30.381,03074T,depth
2026-08-05T09:33:30.381,03074T,depth
2026-08-05T09:33:30.381,03074T,depth
2026-08-05T09:33:30.450,03074T,depth
2026-08-05T09:33:30.452,03074T,depth
